"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0992707","109","962","314","0.0708157","0.100735","2707","2537","0","0","0","0","0","0.289239","0.261559","8921","551","1354","0","0","0","0","0","0","0","0","0","1","0","0","25186","38226","955","781","111","16","205","142","17","2548","12700","181","212","8","11","27","2126","77","0","60","8891","264","3676","2753","846","109","11","187","6","88","0","0"
"L104","com","com","L100","L103","0.0992707","109","962","314","0.0708157","0.100735","2707","2537","0","0","0","0","0","0.289239","0.261559","8921","551","1354","0","0","0","0","0","0","0","0","0","1","0","0","25186","38226","955","781","111","16","205","142","17","2548","12700","181","212","8","11","26","2126","77","0","60","8891","264","3676","2753","846","109","11","187","6","88","0","0"
"L105","google","com.google","L104","L103","0.0992707","109","962","314","0.0708157","0.100735","2707","2537","0","0","0","0","0","0.289239","0.261559","8921","551","1354","0","0","0","0","0","0","0","0","0","1","0","0","25186","38226","955","781","111","16","205","142","17","2548","12700","181","212","8","11","25","2126","77","0","60","8891","264","3676","2753","846","109","11","187","6","88","0","0"
"L106","gson","com.google.gson","L105","L103","0.0992707","109","962","314","0.0722892","0.10084","12","12","0.579082","0.490131","3377","227","165","0.289239","0.261559","8921","551","1354","3513","7654","116","94","2","58","8","432","19","15","388","19","25186","38226","955","781","111","16","205","142","17","2548","12700","181","212","8","11","24","2126","77","0","60","8891","264","3676","2753","846","109","11","187","6","88","0","0"
"L182","codegen","com.google.gson.codegen","L106","L103","0.0743169","1","10","2","0","0","0","0","0.703704","0.279159","146","19","8","0.655172","0.306228","177","19","10","377","582","10","3","1","1","0","34","4","1","23","0","401","647","12","5","25","1","6","3","0","38","214","4","4","0","0","1","27","0","0","1","87","6","12","8","3","1","0","5","0","2","0","0"
"L564","examples","com.google.gson.examples","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1875","0.298507","60","3","13","0","0","0","0","0","0","0","0","0","1","0","0","141","228","7","3","19","0","3","8","0","14","64","1","3","0","0","2","13","0","0","2","41","1","15","1","5","2","0","2","0","8","0","0"
"L688","extras","com.google.gson.extras","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.294118","15","0","2","0","0","0","0","0","0","0","0","0","1","0","0","36","56","2","2","20","0","1","0","0","3","16","0","1","0","0","2","2","0","0","0","12","2","2","2","0","2","0","0","0","0","0","0"
"L741","graph","com.google.gson.graph","L106","L103","0","0","0","0","0","0","0","0","0.0714286","0.222973","99","1","13","0.0714286","0.222973","99","1","13","345","507","17","14","0","0","0","26","0","0","18","0","345","507","17","14","24","0","2","0","0","26","170","0","2","0","0","0","18","0","0","1","87","0","38","22","13","2","0","2","0","0","0","0"
"L1123","interceptors","com.google.gson.interceptors","L106","L103","0","0","0","0","0","0","0","0","0.3","0.340351","97","6","14","0.3","0.340351","97","6","14","188","321","16","12","0","0","1","20","0","0","20","1","188","321","16","12","24","0","4","0","1","20","60","0","4","0","1","0","20","1","0","0","76","2","29","11","18","2","0","0","0","0","0","0"
"L1351","typeadapters","com.google.gson.typeadapters","L106","L103","0.291346","9","37","12","0","0","0","0","0.2","0.292257","268","7","28","0.2","0.292257","268","7","28","649","1016","16","14","0","0","0","49","3","0","38","0","649","1016","16","14","24","0","6","0","0","49","317","3","6","0","0","0","38","0","0","8","244","10","45","34","12","9","0","7","0","1","0","0"
